row,zone_name,hour,parkings_booked
0,1-0,0,5
1,1-0,1,6
2,1-0,2,6
3,1-0,3,6
4,1-0,4,6
5,1-0,5,6
6,1-0,6,8
7,1-0,7,11
8,1-0,8,12
9,1-0,9,14
10,1-0,10,13
11,1-0,11,13
12,1-0,12,12
13,1-0,13,9
14,1-0,14,9
15,1-0,15,9
16,1-0,16,8
17,1-0,17,8
18,1-0,18,9
19,1-0,19,12
20,1-0,20,15
21,1-0,21,14
22,1-0,22,12
23,1-0,23,6
24,1-1,0,4
25,1-1,1,5
26,1-1,2,5
27,1-1,3,5
28,1-1,4,5
29,1-1,5,5
30,1-1,6,6
31,1-1,7,12
32,1-1,8,16
33,1-1,9,19
34,1-1,10,21
35,1-1,11,23
36,1-1,12,19
37,1-1,13,15
38,1-1,14,13
39,1-1,15,9
40,1-1,16,7
41,1-1,17,9
42,1-1,18,11
43,1-1,19,13
44,1-1,20,15
45,1-1,21,16
46,1-1,22,13
47,1-1,23,5
48,1-1+,0,0
49,1-1+,1,1
50,1-1+,2,1
51,1-1+,3,1
52,1-1+,4,1
53,1-1+,5,1
54,1-1+,6,1
55,1-1+,7,2
56,1-1+,8,2
57,1-1+,9,2
58,1-1+,10,3
59,1-1+,11,3
60,1-1+,12,2
61,1-1+,13,2
62,1-1+,14,1
63,1-1+,15,2
64,1-1+,16,3
65,1-1+,17,2
66,1-1+,18,1
67,1-1+,19,1
68,1-1+,20,3
69,1-1+,21,3
70,1-1+,22,2
71,1-1+,23,1
72,1-2,0,5
73,1-2,1,6
74,1-2,2,6
75,1-2,3,6
76,1-2,4,6
77,1-2,5,6
78,1-2,6,9
79,1-2,7,16
80,1-2,8,21
81,1-2,9,25
82,1-2,10,29
83,1-2,11,31
84,1-2,12,27
85,1-2,13,21
86,1-2,14,19
87,1-2,15,16
88,1-2,16,18
89,1-2,17,22
90,1-2,18,25
91,1-2,19,24
92,1-2,20,20
93,1-2,21,16
94,1-2,22,13
95,1-2,23,6
96,10-0,0,0
97,10-0,1,0
98,10-0,2,0
99,10-0,3,0
100,10-0,4,0
101,10-0,5,0
102,10-0,6,0
103,10-0,7,0
104,10-0,8,0
105,10-0,9,0
106,10-0,10,0
107,10-0,11,0
108,10-0,12,0
109,10-0,13,0
